server_id,user_id
tts-98691180,NAS:CSX
tts-97315627,NAS:MTCH
tts-96423906,NAS:TMUS
tts-92502185,NAS:VIAV
tts-91263224,NAS:PYPL
tts-90308539,NAS:KHC
tts-88339869,NAS:LIFE
tts-87928298,NAS:SHOP
tts-85128742,NAS:ON
tts-832505,NAS:LRCX
tts-832500,NAS:LLTC
tts-832472,NAS:KLAC
tts-832438,NAS:ISIL
tts-832423,NAS:INSM
tts-832406,NAS:IDXX
tts-832375,NAS:HOLX
tts-832326,NAS:GNTX
tts-832321,NAS:GMCR
tts-832280,NAS:FOSL
tts-832266,NAS:FLIR
tts-832265,NAS:FLEX
tts-832260,NAS:FISV
tts-832177,NAS:EBAY
tts-832145,NAS:DISH
tts-832098,NAS:CTAS
tts-832092,NAS:CSGP
tts-832025,NAS:CERN
tts-832024,NAS:CEPH
tts-832022,NAS:CELG
tts-831987,NAS:BVSN
tts-831964,NAS:BMRN
tts-831920,NAS:ATML
tts-831895,NAS:ARBA
tts-831872,NAS:AMLN
tts-831866,NAS:ALXN
tts-831856,NAS:AKAM
tts-831838,NAS:ADSK
tts-831814,NAS:AAPL
tts-831069,NAS:WYNN
tts-830973,NAS:VTSS
tts-830966,NAS:VRSN
tts-830842,NAS:TTWO
tts-830823,NAS:TSCO
tts-830736,NAS:TLAB
tts-830674,NAS:TEAM
tts-830638,NAS:SWKS
tts-830598,NAS:STLD
tts-830564,NAS:SRCL
tts-830523,NAS:SNPS
tts-830518,NAS:SNDK
tts-830484,NAS:SIRI
tts-830475,NAS:SIAL
tts-830459,NAS:SGEN
tts-830444,NAS:SEPR
tts-830408,NAS:SBUX
tts-830379,NAS:RYAAY
tts-830361,NAS:ROST
tts-830313,NAS:REGN
tts-830271,NAS:QLGC
tts-830263,NAS:QCOM
tts-830241,NAS:PTEN
tts-830145,NAS:PDCO
tts-830133,NAS:PCAR
tts-830046,NAS:NVDA
tts-830036,NAS:NUAN
tts-830020,NAS:NTES
tts-830016,NAS:NTAP
tts-829989,NAS:NOVL
tts-829933,NAS:NFLX
tts-829854,NAS:MXIM
tts-829808,NAS:MSTR
tts-829802,NAS:MSFT
tts-829786,NAS:MRVL
tts-829749,NAS:MOLX
tts-829623,NAS:MCHP
tts-829549,NAS:LOGI
tts-829543,NAS:LNCR
tts-829488,NAS:LAMR
tts-829418,NAS:JBHT
tts-829383,NAS:ISRG
tts-829359,NAS:INTU
tts-829352,NAS:INTC
tts-829309,NAS:INCY
tts-829281,NAS:ILMN
tts-829251,NAS:IDTI
tts-829202,NAS:HSIC
tts-829161,NAS:HGSI
tts-829063,NAS:GILD
tts-829049,NAS:GENZ
tts-828913,NAS:FFIV
tts-828870,NAS:FAST
tts-828861,NAS:EXPE
tts-828860,NYS:EXPD
tts-828820,NAS:ESRX
tts-828800,NAS:EQIX
tts-828772,NAS:ENDP
tts-828632,NAS:DLTR
tts-828600,NAS:DELL
tts-828516,NAS:CTXS
tts-828513,NAS:CTSH
tts-828468,NAS:CSCO
tts-828418,NAS:CPWR
tts-828408,NAS:CPRT
tts-828403,NAS:COST
tts-828397,NAS:COMS
tts-828385,NAS:CNXT
tts-828356,NAS:CMVT
tts-828342,NAS:CMCSK
tts-828340,NAS:CMCSA
tts-828275,NAS:CHTR
tts-828266,NAS:CHRW
tts-828255,NAS:CHKP
tts-828037,NAS:BRCM
tts-828036,NAS:BRCD
tts-827919,NAS:BBBY
tts-827879,NAS:ATVI
tts-827847,NAS:ASML
tts-827801,NAS:APOL
tts-827769,NAS:ANSS
tts-827705,NAS:AMZN
tts-827665,NAS:WMT
tts-827593,NAS:AMGN
tts-827554,NAS:AMCC
tts-827539,NAS:AMAT
tts-827511,NAS:ALTR
tts-827441,NAS:TRI
tts-827425,NAS:ALGN
tts-827046,NAS:ADCT
tts-827038,NAS:ADBE
tts-821304,NAS:XRAY
tts-821283,NAS:XLNX
tts-821236,NYS:RHT
tts-821074,NAS:VRTX
tts-820920,NAS:URBN
tts-820309,NAS:SPLS
tts-819921,NAS:SBAC
tts-819878,NAS:SANM
tts-819721,NAS:RNWK
tts-819653,NAS:RFMD
tts-818958,NAS:PPDI
tts-818770,NAS:PMCS
tts-818716,NYS:CEG
tts-818586,NAS:PETM
tts-818528,NAS:PDLI
tts-818433,NAS:PAYX
tts-818398,NAS:PALM
tts-818315,NAS:ORLY
tts-818221,NAS:ODFL
tts-80383707,NAS:AMD
tts-80360010,NAS:WBA
tts-72890301,NAS:JD
tts-71625495,NAS:GOOGL
tts-68058336,NYS:CIEN
tts-67645939,NAS:AAL
tts-67417572,NAS:PTC
tts-65832501,NAS:MAR
tts-6191934,NAS:VMED
tts-61604636,NYS:ORCL
tts-61149825,NAS:FOX
tts-61149824,NAS:FOXA
tts-61020822,NAS:CDW
tts-60267672,NYS:PRGO
tts-54963811,NAS:STRZA
tts-53833112,NYS:INFY
tts-5211016,NAS:FSLR
tts-51776389,NAS:FANG
tts-51210920,NAS:MDLZ
tts-49260269,NAS:LVNTA
tts-48237584,NAS:CTRX
tts-48237583,NAS:SHPG
tts-4794202,NAS:ERIC
tts-45576417,NAS:WDC
tts-45504153,NYS:TEVA
tts-43902240,NAS:FB
tts-41981429,NAS:SPLK
tts-41568568,NAS:ADI
tts-40948542,NAS:ENPH
tts-387639951,NAS:LIFE~1
tts-385731618,NYS:SPLS
tts-377137730,NAS:FISV~1
tts-37214168,NAS:MNST
tts-37090221,NAS:TXN
tts-3685519,NAS:AVGO
tts-3682397,NYS:AEO
tts-36804965,NAS:TRIP
tts-36769516,NAS:EA
tts-367344332,NYS:BBBY
tts-36299719,NYS:JOY
tts-36228692,NAS:VIAB
tts-359531590,NYS:FB
tts-3468716,NAS:CDNS
tts-342851559,NAS:SNDK~1
tts-33659182,NYS:LVLT
tts-3250167,NAS:LBTYK
tts-315092541,NAS:GRAL
tts-3138949,NAS:BIDU
tts-310935268,NAS:FER
tts-3103596,NAS:DISCA
tts-3055259,NAS:FMCN
tts-2995163,NAS:LEAP
tts-298814706,NAS:CA
tts-294951046,NAS:LIN
